fecha,isla,turistas
2012-06-01,Lanzarote,158922.0
2012-07-01,Lanzarote,201383.0
2012-08-01,Lanzarote,193005.0
2012-09-01,Lanzarote,175502.0
2012-10-01,Lanzarote,192382.0
2012-11-01,Lanzarote,157194.0
2012-12-01,Lanzarote,160431.0
2013-01-01,Lanzarote,146919.0
2013-02-01,Lanzarote,154341.0
2013-03-01,Lanzarote,187373.0
2013-04-01,Lanzarote,151477.0
2013-05-01,Lanzarote,162781.0
2013-06-01,Lanzarote,173342.0
2013-07-01,Lanzarote,197540.0
2013-08-01,Lanzarote,221512.0
2013-09-01,Lanzarote,180039.0
2013-10-01,Lanzarote,201195.0
2013-11-01,Lanzarote,183765.0
2013-12-01,Lanzarote,173768.0
2014-01-01,Lanzarote,160616.0
2014-02-01,Lanzarote,175394.0
2014-03-01,Lanzarote,196858.0
2014-04-01,Lanzarote,198574.0
2014-05-01,Lanzarote,168076.0
2014-06-01,Lanzarote,184956.0
2014-07-01,Lanzarote,221762.0
2014-08-01,Lanzarote,220135.0
